VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee,source_month,source_file
2,2025-07-29 17:22:16,2025-07-29 17:47:47,N,1.0,66,249,1.0,5.2,27.5,2.5,0.5,0.0,0.0,,1.0,35.0,1.0,1.0,2.75,0.75,7,green_tripdata_2025-07.parquet
2,2025-07-22 18:41:44,2025-07-22 18:53:10,N,1.0,82,56,6.0,1.14,11.4,2.5,0.5,0.0,0.0,,1.0,15.4,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
6,2025-07-08 17:02:46,2025-07-08 18:32:00,,,244,225,,16.24,2.9,0.0,0.5,0.0,0.0,,0.3,48.2,,,,0.0,7,green_tripdata_2025-07.parquet
1,2025-07-19 17:33:48,2025-07-19 17:47:45,N,1.0,74,151,0.0,2.5,15.6,2.5,1.5,3.9,0.0,,1.0,23.5,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-09 11:49:40,2025-07-09 12:03:16,N,1.0,75,262,6.0,1.49,13.5,0.0,0.5,0.0,0.0,,1.0,17.75,2.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-01 18:12:19,2025-07-01 18:32:50,N,1.0,75,230,1.0,3.63,21.2,2.5,0.5,0.0,0.0,,1.0,28.7,1.0,1.0,2.75,0.75,7,green_tripdata_2025-07.parquet
2,2025-07-18 09:23:50,2025-07-18 09:32:49,N,1.0,42,116,1.0,1.04,9.3,0.0,0.5,2.16,0.0,,1.0,12.96,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-18 11:16:53,2025-07-18 11:25:44,N,1.0,75,238,1.0,1.39,10.0,0.0,0.5,1.0,0.0,,1.0,15.25,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-29 17:40:11,2025-07-29 17:55:41,N,1.0,74,24,1.0,2.25,15.6,2.5,0.5,8.0,0.0,,1.0,27.6,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-23 21:04:24,2025-07-23 21:12:32,N,1.0,75,74,1.0,1.32,9.3,1.0,0.5,5.0,0.0,,1.0,16.8,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-22 16:09:20,2025-07-22 16:33:39,N,1.0,43,48,1.0,3.63,24.0,2.5,0.5,3.0,0.0,,1.0,33.75,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-20 16:35:04,2025-07-20 16:48:15,N,1.0,74,141,1.0,3.37,17.0,0.0,0.5,4.25,0.0,,1.0,25.5,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-13 13:10:11,2025-07-13 13:20:19,N,1.0,82,138,1.0,0.0,10.0,5.0,0.5,3.3,0.0,,1.0,19.8,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-11 09:31:13,2025-07-11 09:51:06,N,1.0,95,73,1.0,4.98,25.4,0.0,0.5,0.0,0.0,,1.0,26.9,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-12 16:03:38,2025-07-12 16:21:38,N,1.0,74,140,1.0,3.35,19.8,0.0,0.5,6.01,0.0,,1.0,30.06,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-02 10:17:59,2025-07-02 11:03:19,N,1.0,75,42,1.0,2.77,21.9,0.0,0.5,4.68,0.0,,1.0,28.08,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-12 17:11:20,2025-07-12 17:22:03,N,1.0,41,42,1.0,1.95,13.5,0.0,0.5,0.0,0.0,,1.0,15.0,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
6,2025-07-01 11:16:49,2025-07-01 12:04:35,,,196,75,,10.96,2.9,0.0,0.5,0.0,0.0,,0.3,37.77,,,,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-01 00:41:43,2025-07-01 01:14:55,N,1.0,129,130,1.0,7.33,39.4,1.0,0.5,0.0,0.0,,1.0,41.9,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
1,2025-07-17 17:20:00,2025-07-17 17:57:47,N,1.0,166,138,1.0,9.2,38.7,7.5,1.5,10.9,6.94,,1.0,65.54,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-12 22:35:22,2025-07-12 22:35:30,N,5.0,62,62,4.0,0.0,60.0,0.0,0.0,0.0,0.0,,1.0,61.0,1.0,2.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-13 10:25:58,2025-07-13 10:46:50,N,5.0,65,90,1.0,4.74,40.0,0.0,0.0,8.9,0.0,,1.0,53.4,1.0,2.0,2.75,0.75,7,green_tripdata_2025-07.parquet
2,2025-07-18 19:34:29,2025-07-18 19:39:26,N,1.0,260,83,1.0,0.5,6.5,2.5,0.5,2.1,0.0,,1.0,12.6,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-19 23:16:02,2025-07-19 23:20:15,N,1.0,75,74,1.0,1.06,7.2,1.0,0.5,0.0,0.0,,1.0,9.7,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-26 09:17:00,2025-07-26 09:36:00,,,42,185,,8.16,33.05,0.0,0.5,3.11,0.0,,1.0,37.66,,,,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-14 12:41:00,2025-07-14 13:14:22,,,82,73,,3.71,33.91,0.0,0.5,0.0,0.0,,1.0,35.41,,,,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-25 08:48:23,2025-07-25 08:58:14,N,1.0,42,69,1.0,1.36,10.7,0.0,0.5,1.0,0.0,,1.0,13.2,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-25 00:59:13,2025-07-25 01:20:38,N,1.0,210,265,1.0,16.12,60.4,1.0,0.5,0.0,0.0,,1.0,62.9,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-04 18:10:12,2025-07-04 18:10:23,N,1.0,41,41,1.0,0.04,3.0,0.0,0.5,0.0,0.0,,1.0,4.5,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-15 21:54:48,2025-07-15 21:58:20,N,1.0,74,42,1.0,0.23,5.1,1.0,0.5,1.52,0.0,,1.0,9.12,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
