VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee,source_month,source_file
2,2025-09-09 08:04:26,2025-09-09 08:16:24,2.0,1.83,1.0,N,143,162,1,12.8,0.0,0.5,3.51,0.0,1.0,21.06,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-02 15:20:38,2025-09-02 15:32:22,2.0,1.67,1.0,N,239,230,1,12.8,0.0,0.5,1.0,0.0,1.0,18.55,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-20 17:37:32,2025-09-20 17:40:20,1.0,0.56,1.0,N,231,261,2,5.1,0.0,0.5,0.0,0.0,1.0,9.85,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
1,2025-09-07 11:08:45,2025-09-07 11:52:57,1.0,10.6,1.0,N,132,17,2,47.1,1.75,0.5,0.0,0.0,1.0,50.35,0.0,1.75,0.0,9,yellow_tripdata_2025-09.parquet
2,2025-09-13 20:35:16,2025-09-13 20:48:47,1.0,2.61,1.0,N,162,263,1,14.9,1.0,0.5,4.13,0.0,1.0,24.78,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-19 10:12:20,2025-09-19 10:35:38,2.0,1.78,1.0,N,163,43,1,19.8,0.0,0.5,4.91,0.0,1.0,29.46,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-07 12:34:18,2025-09-07 12:40:31,,0.58,,,162,233,0,57.65,0.0,0.5,0.0,0.0,1.0,62.4,,,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-03 00:16:55,2025-09-03 00:27:11,,1.83,,,92,171,0,24.51,0.0,0.5,0.0,0.0,1.0,26.01,,,0.0,9,yellow_tripdata_2025-09.parquet
2,2025-09-25 14:59:34,2025-09-25 15:08:33,1.0,1.13,1.0,N,186,158,2,10.0,0.0,0.5,0.0,0.0,1.0,14.75,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
7,2025-09-06 13:55:52,2025-09-06 13:55:52,1.0,5.09,1.0,N,148,158,1,26.8,0.0,0.5,9.46,0.0,1.0,41.01,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-14 14:57:37,2025-09-14 15:05:00,1.0,1.41,1.0,N,100,249,1,9.3,0.0,0.5,2.81,0.0,1.0,16.86,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-08 12:11:12,2025-09-08 13:13:23,2.0,18.59,1.0,N,132,55,2,78.6,0.0,0.5,0.0,0.0,1.0,81.85,0.0,1.75,0.0,9,yellow_tripdata_2025-09.parquet
2,2025-09-17 20:17:52,2025-09-17 20:25:03,1.0,1.61,1.0,N,236,41,1,10.0,1.0,0.5,1.0,0.0,1.0,16.0,2.5,0.0,0.0,9,yellow_tripdata_2025-09.parquet
2,2025-09-18 19:30:18,2025-09-18 20:27:39,1.0,26.16,1.0,N,132,40,1,102.4,2.5,0.5,26.6,0.0,1.0,134.75,0.0,1.75,0.0,9,yellow_tripdata_2025-09.parquet
2,2025-09-12 22:30:12,2025-09-12 23:06:38,1.0,3.84,1.0,N,231,17,1,33.8,1.0,0.5,4.0,0.0,1.0,43.55,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
1,2025-09-18 18:00:56,2025-09-18 19:20:27,1.0,12.2,99.0,N,146,182,1,35.5,0.0,0.5,0.0,6.94,0.0,42.94,0.0,0.0,0.0,9,yellow_tripdata_2025-09.parquet
2,2025-09-21 01:35:02,2025-09-21 01:41:41,1.0,1.52,1.0,N,162,234,1,9.3,1.0,0.5,3.01,0.0,1.0,18.06,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-24 06:39:42,2025-09-24 06:45:34,6.0,0.98,1.0,N,137,186,1,7.9,0.0,0.5,2.53,0.0,1.0,15.18,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-24 11:31:33,2025-09-24 11:48:25,1.0,2.23,1.0,N,107,68,1,16.3,0.0,0.5,2.0,0.0,1.0,23.05,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-26 23:56:56,2025-09-27 00:10:31,1.0,2.17,1.0,N,113,233,1,14.2,1.0,0.5,3.99,0.0,1.0,23.94,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-30 22:47:59,2025-09-30 22:50:22,1.0,0.69,1.0,N,229,170,1,5.1,1.0,0.5,1.08,0.0,1.0,11.93,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-26 22:05:11,2025-09-26 22:05:58,1.0,0.0,1.0,N,162,162,3,-3.0,-1.0,-0.5,0.0,0.0,-1.0,-8.75,-2.5,0.0,-0.75,9,yellow_tripdata_2025-09.parquet
1,2025-09-30 09:42:34,2025-09-30 10:07:47,1.0,5.3,99.0,N,40,22,1,28.5,0.0,0.5,0.0,0.0,0.0,29.0,0.0,0.0,0.0,9,yellow_tripdata_2025-09.parquet
2,2025-09-12 15:10:12,2025-09-12 15:22:28,1.0,1.51,1.0,N,211,90,1,12.1,0.0,0.5,2.0,0.0,1.0,18.85,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-22 17:48:08,2025-09-22 18:00:38,1.0,0.97,1.0,N,186,170,1,11.4,2.5,0.5,3.73,0.0,1.0,22.38,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-06 01:02:21,2025-09-06 01:09:58,,1.02,,,79,114,0,10.55,0.0,0.5,0.0,0.0,1.0,15.3,,,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-28 18:02:37,2025-09-28 18:22:17,1.0,4.95,1.0,N,132,10,1,24.7,0.0,0.5,5.59,0.0,1.0,33.54,0.0,1.75,0.0,9,yellow_tripdata_2025-09.parquet
2,2025-09-06 18:10:57,2025-09-06 18:32:11,2.0,1.79,1.0,N,158,48,1,18.4,0.0,0.5,5.79,0.0,1.0,28.94,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-28 14:24:35,2025-09-28 14:41:47,1.0,2.06,1.0,N,137,142,1,17.0,0.0,0.5,4.35,0.0,1.0,26.1,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-24 19:57:00,2025-09-24 20:02:00,,1.43,,,239,151,0,7.25,0.0,0.5,0.0,0.0,1.0,11.25,,,0.0,9,yellow_tripdata_2025-09.parquet
2,2025-09-06 12:01:17,2025-09-06 12:21:00,4.0,2.04,1.0,N,186,237,1,18.4,0.0,0.5,4.63,0.0,1.0,27.78,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
1,2025-09-02 10:28:52,2025-09-02 10:43:40,1.0,1.7,1.0,N,237,162,1,14.2,3.25,0.5,1.0,0.0,1.0,19.95,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
